PDB ID	Name	EC Number	UniProtKB ID
1hrk	ferrochelatase	4.99.1.1	P22830
1hti	triose-phosphate isomerase	5.3.1.1	P60174
1hto	glutamate---ammonia ligase	6.3.1.2	P0A590
1hv9	glucosamine-1-phosphate N-acetyltransferase	2.3.1.157	P0ACC7
1hxq	UDP-glucose---hexose-1-phosphate uridylyltransferase	2.7.7.12	P09148
1hy3	estrone sulfotransferase	2.8.2.4	P49888
1hzd	methylglutaconyl-CoA hydratase	4.2.1.18	Q13825
1hzf	classical-complement-pathway C3/C5 convertase	3.4.21.43	P0C0L4
1i1e	bontoxilysin	3.4.24.69	P10844
1i1i	neurolysin	3.4.24.16	P42676
1i29	cysteine desulfurase	2.8.1.7	P77444
1i6p	carbonate dehydratase	4.2.1.1	P61517
1i78	omptin	3.4.23.49	P09169
1i7q	anthranilate synthase	4.1.3.27	P00897
1i7q	anthranilate synthase	4.1.3.27	P00900
1i8d	riboflavin synthase	2.5.1.9	P0AFU8
1i8t	UDP-galactopyranose mutase	5.4.99.9	P37747
1i9a	isopentenyl-diphosphate Delta-isomerase	5.3.3.2	Q46822
1idj	pectin lyase	4.2.2.10	Q01172
1idt	6,7-dihydropteridine reductase	1.5.1.34	P38489
1iec	assemblin	3.4.21.97	P16753
1ig8	hexokinase	2.7.1.1	P04807
1ima	inositol-phosphate phosphatase	3.1.3.25	P29218
1inp	inositol-1,4-bisphosphate 1-phosphatase	3.1.3.57	P21327
1iph	catalase	1.11.1.6	P21179
1ir3	receptor protein-tyrosine kinase	2.7.10.1	P06213
1itq	membrane dipeptidase	3.4.13.19	P16444
1itx	chitinase	3.2.1.14	P20533
1iu4	protein-glutamine gamma-glutamyltransferase	2.3.2.13	P81453
1ivh	isovaleryl-CoA dehydrogenase	1.3.99.10	P26440
1iyd	branched-chain-amino-acid transaminase	2.6.1.42	P0AB80
1j00	lysophospholipase	3.1.1.5	P0ADA1
1j09	glutamate---tRNA ligase	6.1.1.17	P27000
1j2u	creatininase	3.5.2.10	P83772
1j49	D-lactate dehydrogenase	1.1.1.28	P26297
1j53	DNA-directed DNA polymerase	2.7.7.7	P03007
1j70	sulfate adenylyltransferase	2.7.7.4	P08536
1j79	dihydroorotase	3.5.2.3	P05020
1j7g	D-TYROSYL-TRNA(TYR) DEACYLASE	3.1.-.-	P44814
2ocp	deoxyguanosine kinase	2.7.1.113	Q16854
1jch	COLICIN E3	3.1.21.-	P00646
1jch	COLICIN E3	3.1.21.-	P02984
1jdw	glycine amidinotransferase	2.1.4.1	P50440
1jen	adenosylmethionine decarboxylase	4.1.1.50	P17707
1jh6	CYCLIC PHOSPHODIESTERASE	3.1.4.-	O04147
1jhf	repressor LexA	3.4.21.88	P0A7C2
1jm6	[pyruvate dehydrogenase (acetyl-transferring)] kinase	2.7.11.2	Q64536
1jms	DNA nucleotidylexotransferase	2.7.7.31	P09838
1joa	NADH peroxidase	1.11.1.1	P37062
1jof	carboxy-cis,cis-muconate cyclase	5.5.1.5	P38677
1jqn	phosphoenolpyruvate carboxylase	4.1.1.31	P00864
1js4	cellulase	3.2.1.4	P26221
1jxa	glutamine---fructose-6-phosphate transaminase (isomerizing)	2.6.1.16	P17169
1jxh	hydroxymethylpyrimidine kinase	2.7.1.49	P55882
1k0w	L-ribulose-5-phosphate 4-epimerase	5.1.3.4	P08203
1k30	glycerol-3-phosphate O-acyltransferase	2.3.1.15	P10349
1k32	TRICORN PROTEASE	3.4.21.-	P96086
1k4l	3,4-dihydroxy-2-butanone-4-phosphate synthase	4.1.99.12	Q8TG90
1k4t	DNA topoisomerase	5.99.1.2	P11387
1k82	DNA-formamidopyrimidine glycosylase	3.2.2.23	P05523
1kae	histidinol dehydrogenase	1.1.1.23	P06988
1kas	beta-ketoacyl-acyl-carrier-protein synthase II	2.3.1.179	P0AAI5
1kaz	adenosinetriphosphatase	3.6.1.3	P19120
1kc7	pyruvate, phosphate dikinase	2.7.9.1	P22983
1kcz	methylaspartate ammonia-lyase	4.3.1.2	Q05514
1kdg	cellobiose dehydrogenase (acceptor)	1.1.99.18	Q01738
1kez	6-deoxyerythronolide-B synthase	2.3.1.94	Q03133
1kfu	calpain-2	3.4.22.53	P17655
1kfu	calpain-2	3.4.22.53	P04632
1kfx	calpain-2	3.4.22.53	P17655
1kfx	calpain-2	3.4.22.53	P04632
1kim	thymidine kinase	2.7.1.21	P03176
1kl7	threonine synthase	4.2.3.1	P16120
1knp	L-aspartate oxidase	1.4.3.16	P10902
1kny	KANAMYCIN NUCLEOTIDYLTRANSFERASE	2.7.7.-	P05057
1kp2	argininosuccinate synthase	6.3.4.5	P0A6E4
1kqc	OXYGEN-INSENSITIVE NAD(P)H NITROREDUCTASE	1.6.6.-	Q01234
1kqf	formate dehydrogenase	1.2.1.2	P24183
1kqf	formate dehydrogenase	1.2.1.2	P0AAJ3
1kqf	formate dehydrogenase	1.2.1.2	P0AEK7
1kra	urease	3.5.1.5	P18316
1kra	urease	3.5.1.5	P18315
1kra	urease	3.5.1.5	P18314
1ksj	3',5'-cyclic-nucleotide phosphodiesterase	3.1.4.17	Q9D0J4
1ksj	3',5'-cyclic-nucleotide phosphodiesterase	3.1.4.17	O43924
1kws	galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase	2.4.1.135	O94766
1kyq	precorrin-2 dehydrogenase	1.3.1.76	P15807
1kyw	caffeate O-methyltransferase	2.1.1.68	P28002
1kzl	riboflavin synthase	2.5.1.9	Q9Y7P0
1l0o	non-specific serine/threonine protein kinase	2.7.11.1	O32727
1l1d	peptide-methionine (S)-S-oxide reductase	1.8.4.11	P14930
1l1l	ribonucleoside-triphosphate reductase	1.17.4.2	Q59490
1l6p	protein-disulfide reductase	1.8.1.8	P36655
1l7d	NAD(P)+ transhydrogenase (AB-specific)	1.6.1.2	P0C186
1l7n	phosphoserine phosphatase	3.1.3.3	Q58989
1l7q	carboxylesterase	3.1.1.1	Q9L9D7
1l8t	kanamycin kinase	2.7.1.95	P0A3Y5
1l9x	gamma-glutamyl hydrolase	3.4.19.9	Q92820
1lam	leucyl aminopeptidase	3.4.11.1	P00727
1lba	N-acetylmuramoyl-L-alanine amidase	3.5.1.28	P00806
1lbu	zinc D-Ala-D-Ala carboxypeptidase	3.4.17.14	P00733
1lcb	thymidylate synthase	2.1.1.45	P00469
1lci	Photinus-luciferin 4-monooxygenase (ATP-hydrolysing)	1.13.12.7	P08659
1ldm	L-lactate dehydrogenase	1.1.1.27	P00341
1lij	adenosine kinase	2.7.1.20	Q9TVW2
1lio	adenosine kinase	2.7.1.20	Q9TVW2
1lj1	succinate dehydrogenase	1.3.99.1	P0C278
1ljl	protein-tyrosine-phosphatase	3.1.3.48	P0A006
1lml	leishmanolysin	3.4.24.36	P08148
1lnh	linoleate 9S-lipoxygenase	1.13.11.58	P09186
1ltq	polynucleotide 5'-hydroxyl-kinase	2.7.1.78	P06855
1luc	alkanal monooxygenase (FMN)	1.14.14.3	P07740
1luc	alkanal monooxygenase (FMN)	1.14.14.3	P07739
1lvh	beta-phosphoglucomutase	5.4.2.6	P71447
1lws	H+-transporting two-sector ATPase	3.6.3.14	P17255
1lxa	acyl-[acyl-carrier-protein]---UDP-N-acetylglucosamine O-acyltransferase	2.3.1.129	P0A722
1lya	cathepsin D	3.4.23.5	P07339
1lz1	lysozyme	3.2.1.17	P61626
1m54	cystathionine beta-synthase	4.2.1.22	P35520
1m6k	beta-lactamase	3.5.2.6	P13661
1m9c	peptidylprolyl isomerase	5.2.1.8	P62937
1mas	purine nucleosidase	3.2.2.1	Q27546
1mbb	UDP-N-acetylmuramate dehydrogenase	1.1.1.158	P08373
1mdr	mandelate racemase	5.1.2.2	P11444
1mek	protein disulfide-isomerase	5.3.4.1	P07237
1mfp	enoyl-[acyl-carrier-protein] reductase (NADH)	1.3.1.9	P0AEK4
1mhl	myeloperoxidase	1.11.2.2	P05164
1mht	DNA (cytosine-5-)-methyltransferase	2.1.1.37	P05102
1mhy	methane monooxygenase (soluble)	1.14.13.25	P27354
1mhy	methane monooxygenase (soluble)	1.14.13.25	P27353
1mhy	methane monooxygenase (soluble)	1.14.13.25	P27355
1mj9	histone acetyltransferase	2.3.1.48	Q08649
1mka	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase	4.2.1.60	P0A6Q3
1mla	[acyl-carrier-protein] S-malonyltransferase	2.3.1.39	P0AAI9
1mlv	[ribulose-bisphosphate carboxylase]-lysine N-methyltransferase	2.1.1.127	Q43088
1mok	2-oxopropyl-CoM reductase (carboxylating)	1.8.1.5	Q56839
1moq	glutamine---fructose-6-phosphate transaminase (isomerizing)	2.6.1.16	P17169
1mpp	mucorpepsin	3.4.23.23	P09177
1mpy	catechol 2,3-dioxygenase	1.13.11.2	P06622
1mro	coenzyme-B sulfoethylthiotransferase	2.8.4.1	P11558
1mro	coenzyme-B sulfoethylthiotransferase	2.8.4.1	P11560
1mro	coenzyme-B sulfoethylthiotransferase	2.8.4.1	P11562
1mrq	indanol dehydrogenase	1.1.1.112	Q04828
1mt1	arginine decarboxylase	4.1.1.19	Q57764
1mt5	fatty acid amide hydrolase	3.5.1.99	P97612
1muc	muconate cycloisomerase	5.5.1.1	P08310
1mud	ADENINE GLYCOSYLASE	3.2.2.-	P17802
1mug	double-stranded uracil-DNA glycosylase	3.2.2.28	P0A9H1
1mvn	phosphopantothenoylcysteine decarboxylase	4.1.1.36	Q9SWE5
1myr	thioglucosidase	3.2.1.147	P29736
1n20	bornyl diphosphate synthase	5.5.1.8	O81192
1n29	phospholipase A2	3.1.1.4	P14555
1n2c	nitrogenase	1.18.6.1	P07328
1n2c	nitrogenase	1.18.6.1	P07329
1n2c	nitrogenase	1.18.6.1	P00459
1n8o	chymotrypsin	3.4.21.1	P00766
1n8o	chymotrypsin	3.4.21.1	P23827
1naa	cellobiose dehydrogenase (acceptor)	1.1.99.18	Q01738
1nba	N-carbamoylsarcosine amidase	3.5.1.59	P32400
1nbf	ubiquitinyl hydrolase 1	3.4.19.12	Q93009
1nbf	ubiquitinyl hydrolase 1	3.4.19.12	P0CG48
1ndh	cytochrome-b5 reductase	1.6.2.2	P83686
1ndi	carnitine O-acetyltransferase	2.3.1.7	P47934
1ndo	naphthalene 1,2-dioxygenase	1.14.12.12	P0A110
1ndo	naphthalene 1,2-dioxygenase	1.14.12.12	P0A112
1nhx	phosphoenolpyruvate carboxykinase (GTP)	4.1.1.32	P35558
1ni4	pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	P08559
1ni4	pyruvate dehydrogenase (acetyl-transferring)	1.2.4.1	P11177
1nid	nitrite reductase (NO-forming)	1.7.2.1	P25006
1nir	nitrite reductase (NO-forming)	1.7.2.1	P24474
1nkk	assemblin	3.4.21.97	P16753
1nln	adenain	3.4.22.39	P03252
1nlu	sedolisin	3.4.21.100	P42790
1nmw	peptidylprolyl isomerase	5.2.1.8	Q13526
1nn4	ribose-5-phosphate isomerase	5.3.1.6	P37351
1nsf	vesicle-fusing ATPase	3.6.4.6	P18708
1nsj	phosphoribosylanthranilate isomerase	5.3.1.24	Q56320
1nsp	nucleoside-diphosphate kinase	2.7.4.6	P22887
1nu3	limonene-1,2-epoxide hydrolase	3.3.2.8	Q9ZAG3
1nvm	4-hydroxy-2-oxovalerate aldolase	4.1.3.39	P51016
1nvm	4-hydroxy-2-oxovalerate aldolase	4.1.3.39	Q52060
1nvt	shikimate dehydrogenase	1.1.1.25	Q58484
1nw9	caspase-9	3.4.22.62	P98170
1nw9	caspase-9	3.4.22.62	P55211
1nww	limonene-1,2-epoxide hydrolase	3.3.2.8	Q9ZAG3
1nzy	4-chlorobenzoyl-CoA dehalogenase	3.8.1.7	A5JTM5
1o04	aldehyde dehydrogenase (NAD+)	1.2.1.3	P05091
1o8a	peptidyl-dipeptidase A	3.4.15.1	P12821
1o98	phosphoglycerate mutase	5.4.2.1	Q9X519
1o9i	catalase	1.11.1.6	P60355
1oac	primary-amine oxidase	1.4.3.21	P46883
1oas	cysteine synthase	2.5.1.47	P0A1E3
1oba	lysozyme	3.2.1.17	P15057
1odt	cephalosporin-C deacetylase	3.1.1.41	P94388
1oe8	glutathione transferase	2.5.1.18	P30114
1ofd	glutamate synthase (ferredoxin)	1.4.7.1	P55038
1ofg	glucose-fructose oxidoreductase	1.1.99.28	Q07982
1og1	NAD+---protein-arginine ADP-ribosyltransferase	2.4.2.31	P20974
1ogo	dextranase	3.2.1.11	P48845
1oh9	acetylglutamate kinase	2.7.2.8	P0A6C8
1ohh	H+-transporting two-sector ATPase	3.6.3.14	P19483
1ohh	H+-transporting two-sector ATPase	3.6.3.14	P00829
1ohh	H+-transporting two-sector ATPase	3.6.3.14	P05631
1ohh	H+-transporting two-sector ATPase	3.6.3.14	P01096
1oj4	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	2.7.1.148	Q8FI04
1ok4	fructose-bisphosphate aldolase	4.1.2.13	P58315
1onr	transaldolase	2.2.1.2	P0A870
1opm	peptidylglycine monooxygenase	1.14.17.3	P14925
3s8r	glutaryl-7-aminocephalosporanic-acid acylase	3.5.1.93	P07662
1or8	histone-arginine N-methyltransferase	2.1.1.125	Q63009
1ord	ornithine decarboxylase	4.1.1.17	P43099
1oro	orotate phosphoribosyltransferase	2.4.2.10	P0A7E3
1os7	taurine dioxygenase	1.14.11.17	P37610
1otg	5-carboxymethyl-2-hydroxymuconate Delta-isomerase	5.3.3.10	Q05354
1oxa	CYTOCHROME P450 ERYF	1.-.-.-	Q00441
1oya	NADPH dehydrogenase	1.6.99.1	Q02899
1oyg	levansucrase	2.4.1.10	P05655
1ozh	acetolactate synthase	2.2.1.6	P27696
1p1x	deoxyribose-phosphate aldolase	4.1.2.4	P0A6L0
1p3d	UDP-N-acetylmuramate---L-alanine ligase	6.3.2.8	P45066
1p4r	phosphoribosylaminoimidazolecarboxamide formyltransferase	2.1.2.3	P31939
1p5d	phosphomannomutase	5.4.2.8	P26276
1p7m	DNA-3-methyladenine glycosylase I	3.2.2.20	P05100
1pa9	protein-tyrosine-phosphatase	3.1.3.48	P15273
1pad	papain	3.4.22.2	P00784
1pae	nucleoside-diphosphate kinase	2.7.4.6	P22887
1pbg	6-phospho-beta-galactosidase	3.2.1.85	P11546
1pd2	glutathione transferase	2.5.1.18	O35543
1peg	histone-lysine N-methyltransferase	2.1.1.43	Q8X225
1pfk	6-phosphofructokinase	2.7.1.11	P0A796
1pfq	dipeptidyl-peptidase IV	3.4.14.5	P27487
1pgs	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase	3.5.1.52	P21163
1pii	indole-3-glycerol-phosphate synthase	4.1.1.48	P00909
1pix	glutaconyl-CoA decarboxylase	4.1.1.70	Q06700
1pja	palmitoyl[protein] hydrolase	3.1.2.22	Q9UMR5
1pjh	dodecenoyl-CoA isomerase	5.3.3.8	Q05871
1pjq	precorrin-2 dehydrogenase	1.3.1.76	P25924
1pkn	pyruvate kinase	2.7.1.40	P11974
1pma	proteasome endopeptidase complex	3.4.25.1	P28061
1pma	proteasome endopeptidase complex	3.4.25.1	P25156
1pmi	mannose-6-phosphate isomerase	5.3.1.8	P34948
1pnl	penicillin amidase	3.5.1.11	P06875
1pnt	acid phosphatase	3.1.3.2	P11064
1pow	pyruvate oxidase	1.2.3.3	P37063
1pp4	rhamnogalacturonan acetylesterase	3.1.1.86	Q00017
1ps1	pentalenene synthase	4.2.3.7	Q55012
1ps9	2,4-dienoyl-CoA reductase (NADPH)	1.3.1.34	P42593
1psd	phosphoglycerate dehydrogenase	1.1.1.95	P0A9T0
1ptd	phosphatidylinositol diacylglycerol-lyase	4.6.1.13	P14262
1pud	tRNA-guanine transglycosylase	2.4.2.29	P28720
1pvd	pyruvate decarboxylase	4.1.1.1	P06169
1pvi	type II site-specific deoxyribonuclease	3.1.21.4	P23657
1pwh	L-serine ammonia-lyase	4.3.1.17	P09367
1pwv	anthrax lethal factor endopeptidase	3.4.24.83	P15917
1pxv	CYSTEINE PROTEASE	3.4.22.-	P0C1S6
1pxv	CYSTEINE PROTEASE	3.4.22.-	Q9EYW6
1pya	histidine decarboxylase	4.1.1.22	P00862
1pym	phosphoenolpyruvate mutase	5.4.2.9	P56839
1pz3	alpha-N-arabinofuranosidase	3.2.1.55	Q9XBQ3
1q18	glucokinase	2.7.1.2	P0A6V9
1q3n	3-deoxy-8-phosphooctulonate synthase	2.5.1.55	P0A715
1q3q	chaperonin ATPase	3.6.4.9	P61112
1q6l	3-dehydro-L-gulonate-6-phosphate decarboxylase	4.1.1.85	P39304
1q6x	choline O-acetyltransferase	2.3.1.6	P32738
1q91	5'-nucleotidase	3.1.3.5	Q9NPB1
1qam	23S rRNA (adenine2085-N6)-dimethyltransferase	2.1.1.184	P13956
1qb4	phosphoenolpyruvate carboxylase	4.1.1.31	P00864
1qba	beta-N-acetylhexosaminidase	3.2.1.52	Q54468
1qcn	fumarylacetoacetase	3.7.1.2	P35505
1qd1	glutamate formimidoyltransferase	2.1.2.5	P53603
1qd6	phospholipase A1	3.1.1.32	P0A921
1qdl	anthranilate synthase	4.1.3.27	Q06128
1qdl	anthranilate synthase	4.1.3.27	Q06129
1qe3	PARA-NITROBENZYL ESTERASE	3.1.1.-	P37967
1qf6	threonine---tRNA ligase	6.1.1.3	P0A8M3
1qfe	3-dehydroquinate dehydratase	4.2.1.10	P24670
1qfl	acetyl-CoA C-acetyltransferase	2.3.1.9	P07097
1qfm	prolyl oligopeptidase	3.4.21.26	P23687
1qfn	ribonucleoside-diphosphate reductase	1.17.4.1	P68688
1qfn	ribonucleoside-diphosphate reductase	1.17.4.1	P00452
1qgx	3'(2'),5'-bisphosphate nucleotidase	3.1.3.7	P32179
1qh5	hydroxyacylglutathione hydrolase	3.1.2.6	Q16775
1qh9	(S)-2-haloacid dehalogenase	3.8.1.2	Q53464
1qhf	phosphoglycerate mutase	5.4.2.1	P00950
1qhg	DNA helicase	3.6.4.12	P56255
1qho	glucan 1,4-alpha-maltohydrolase	3.2.1.133	P19531
1qi9	bromide peroxidase	1.11.1.18	P81701
1qib	gelatinase A	3.4.24.24	P08253
1n5w	carbon-monoxide dehydrogenase (acceptor)	1.2.99.2	P19921
1n5w	carbon-monoxide dehydrogenase (acceptor)	1.2.99.2	P19919
1n5w	carbon-monoxide dehydrogenase (acceptor)	1.2.99.2	P19920
1qj4	(S)-hydroxynitrile lyase	4.1.2.47	P52704
1qje	isopenicillin-N synthase	1.21.3.1	P05326
1qk2	cellulose 1,4-beta-cellobiosidase	3.2.1.91	P07987
1qlh	alcohol dehydrogenase	1.1.1.1	P00327
1qmh	RNA-3'-phosphate cyclase	6.5.1.4	P46849
1qol	RNA-directed RNA polymerase	2.7.7.48	P03305
1qpr	nicotinate-nucleotide diphosphorylase (carboxylating)	2.4.2.19	O06594
1qq5	(S)-2-haloacid dehalogenase	3.8.1.2	Q60099
1qrg	carbonate dehydratase	4.2.1.1	P40881
1qrr	UDP-sulfoquinovose synthase	3.13.1.1	O48917
1qrz	plasmin	3.4.21.7	P00747
1qsg	enoyl-[acyl-carrier-protein] reductase (NADH)	1.3.1.9	P0AEK4
1qtn	caspase-8	3.4.22.61	Q14790
1qum	deoxyribonuclease IV (phage-T4-induced)	3.1.21.2	P0A6C1
1qv0	Renilla-luciferin 2-monooxygenase	1.13.12.5	Q27709
1qwn	mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase	3.2.1.114	Q24451
1qx3	caspase-3	3.4.22.56	P42574
1qz9	kynureninase	3.7.1.3	P83788
1r16	NAD+ nucleosidase	3.2.2.5	P29241
1r1j	neprilysin	3.4.24.11	P08473
1r30	biotin synthase	2.8.1.6	P12996
1r44	D-Ala-D-Ala dipeptidase	3.4.13.22	Q06241
1r4z	triacylglycerol lipase	3.1.1.3	P37957
1r6w	o-succinylbenzoate synthase	4.2.1.113	P29208
1ra0	cytosine deaminase	3.5.4.1	P25524
1ra2	dihydrofolate reductase	1.5.1.3	P0ABQ4
1rba	ribulose-bisphosphate carboxylase	4.1.1.39	P04718
1rbl	ribulose-bisphosphate carboxylase	4.1.1.39	P00880
1rbl	ribulose-bisphosphate carboxylase	4.1.1.39	P04716
1rbn	pancreatic ribonuclease	3.1.27.5	P61823
1rdd	ribonuclease H	3.1.26.4	P0A7Y4
1req	methylmalonyl-CoA mutase	5.4.99.2	P11653
1req	methylmalonyl-CoA mutase	5.4.99.2	P11652
1rgq	RNA-directed RNA polymerase	2.7.7.48	P27958
1rhs	thiosulfate sulfurtransferase	2.8.1.1	P00586
1rk2	ribokinase	2.7.1.15	P0A9J6
1rne	renin	3.4.23.15	P00797
1roz	deoxyhypusine synthase	2.5.1.46	P49366
1rpt	acid phosphatase	3.1.3.2	P20646
1rpx	ribulose-phosphate 3-epimerase	5.1.3.1	Q43843
1rql	phosphonoacetaldehyde hydrolase	3.11.1.1	O31156
1rtf	t-plasminogen activator	3.4.21.68	P00750
1rtu	ribonuclease U2	3.1.27.4	P00654
1ru4	pectate lyase	4.2.2.2	P0C1A6
1rvv	riboflavin synthase	2.5.1.9	P11998
1s20	3-dehydro-L-gulonate 2-dehydrogenase	1.1.1.130	P37672
1s2k	scytalidopepsin B	3.4.23.32	P15369
1s3i	formyltetrahydrofolate dehydrogenase	1.5.1.6	P28037
1s76	DNA-directed RNA polymerase	2.7.7.6	P00573
1s95	phosphoprotein phosphatase	3.1.3.16	P53041
1s9c		1.1.1	P51659
1sca	subtilisin	3.4.21.62	P00780
1ses	serine---tRNA ligase	6.1.1.11	P34945
1sll	anhydrosialidase	4.2.2.15	Q27701
1slm	stromelysin 1	3.4.24.17	P08254
1sme	plasmepsin II	3.4.23.39	P46925
1sml	beta-lactamase	3.5.2.6	P52700
1smn	Serratia marcescens nuclease	3.1.30.2	P13717
1snn	3,4-dihydroxy-2-butanone-4-phosphate synthase	4.1.99.12	Q60364
1snz	aldose 1-epimerase	5.1.3.3	Q96C23
1sox	sulfite oxidase	1.8.3.1	P07850
1ssx	alpha-lytic endopeptidase	3.4.21.12	P00778
1stc	cAMP-dependent protein kinase	2.7.11.11	P00517
1stc	cAMP-dependent protein kinase	2.7.11.11	P61925
1std	scytalone dehydratase	4.2.1.94	P56221
1szd	histone/protein deacetylase	3.5.1.-	P53686
1szd	histone/protein deacetylase	3.5.1.-	P02309
1szj	glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)	1.2.1.12	P56649
1t0u	uridine phosphorylase	2.4.2.3	P12758
1t4c	formyl-CoA transferase	2.8.3.16	O06644
1t7d	signal peptidase I	3.4.21.89	P00803
1tah	triacylglycerol lipase	3.1.1.3	Q05489
1tde	thioredoxin-disulfide reductase	1.8.1.9	P0A9P4
1tdj	threonine ammonia-lyase	4.3.1.19	P04968
1teh	alcohol dehydrogenase	1.1.1.1	P11766
1thg	triacylglycerol lipase	3.1.1.3	P79066
1tht	THIOESTERASE	2.3.1.-	P05521
1ti6	pyrogallol hydroxytransferase	1.97.1.2	P80563
1ti6	pyrogallol hydroxytransferase	1.97.1.2	P80564
1tlp	thermolysin	3.4.24.27	P00800
1tml	cellulase	3.2.1.4	P26222
1tmo	trimethylamine-N-oxide reductase (cytochrome c)	1.7.2.3	O87948
1tox	NAD+---diphthamide ADP-ribosyltransferase	2.4.2.36	P00588
1tph	triose-phosphate isomerase	5.3.1.1	P00940
1trk	transketolase	2.2.1.1	P23254
1tyf	endopeptidase Clp	3.4.21.92	P0A6G7
1tys	thymidylate synthase	2.1.1.45	P0A884
1u3f	5-formyltetrahydrofolate cyclo-ligase	6.3.3.2	P75430
1u5u	arachidonate 8-lipoxygenase	1.13.11.40	O16025
1u7u	phosphopantothenoylcysteine decarboxylase	4.1.1.36	P0ABQ0
1u8v	4-hydroxybutanoyl-CoA dehydratase	4.2.1.120	P55792
1uae	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	2.5.1.7	P0A749
1uag	UDP-N-acetylmuramoyl-L-alanine---D-glutamate ligase	6.3.2.9	P14900
1uam	tRNA (guanine-N1-)-methyltransferase	2.1.1.31	P43912
1uaq	cytosine deaminase	3.5.4.1	Q12178
1uch	ubiquitinyl hydrolase 1	3.4.19.12	P15374
1uf7	N-carbamoyl-D-amino-acid hydrolase	3.5.1.77	P60327
1ula	purine-nucleoside phosphorylase	2.4.2.1	P00491
1uok	oligo-1,6-glucosidase	3.2.1.10	P21332
1r51	factor-independent urate hydroxylase	1.7.3.3	Q00511
1uqr	3-dehydroquinate dehydratase	4.2.1.10	P43877
1uqt	alpha,alpha-trehalose-phosphate synthase (UDP-forming)	2.4.1.15	P31677
1uro	uroporphyrinogen decarboxylase	4.1.1.37	P06132
1ush	5'-nucleotidase	3.1.3.5	P07024
1uw8	oxalate decarboxylase	4.1.1.2	O34714
1vao	vanillyl-alcohol oxidase	1.1.3.38	P56216
1vas	deoxyribonuclease (pyrimidine dimer)	3.1.25.1	P04418
1vid	catechol O-methyltransferase	2.1.1.6	P22734
1vie	dihydrofolate reductase	1.5.1.3	P00383
1vlb	aldehyde dehydrogenase (FAD-independent)	1.2.99.7	Q46509
1vnc	chloride peroxidase	1.11.1.10	P49053
1vom	MYOSIN	-.-.-.-	P08799
1vr7	adenosylmethionine decarboxylase	4.1.1.50	Q9WZC3
1vzx	N-acetyllactosaminide 3-alpha-galactosyltransferase	2.4.1.87	P14769
1vzz	steroid Delta-isomerase	5.3.3.1	P07445
1w0h	3-5 EXONUCLEASE ERI1	3.1.-.-	Q8IV48
1w1o	cytokinin dehydrogenase	1.5.99.12	Q9T0N8
1w27	phenylalanine ammonia-lyase	4.3.1.24	P24481
1w2n	deacetoxycephalosporin-C synthase	1.14.20.1	P18548
1wd8	protein-arginine deiminase	3.5.3.15	Q9UM07
1wgi	inorganic diphosphatase	3.6.1.1	P00817
1wnw	heme oxygenase	1.14.99.3	P71119
1x9h	mannose-6-phosphate isomerase	5.3.1.8	Q8ZWV0
1x9y	CYSTEINE PROTEINASE	3.4.22.-	P0C1S6
1xa8	S-(hydroxymethyl)glutathione synthase	4.4.1.22	Q51669
1xgm	methionyl aminopeptidase	3.4.11.18	P56218
1xik	ribonucleoside-diphosphate reductase	1.17.4.1	P69924
1xqd		1.7.99.7	P23295
1xqw	prolyl aminopeptidase	3.4.11.5	P96084
1xs1	dCTP deaminase	3.5.4.13	P28248
1xtc	NAD+---diphthamide ADP-ribosyltransferase	2.4.2.36	P01555
1xtc	NAD+---diphthamide ADP-ribosyltransferase	2.4.2.36	P01556
1xva	glycine N-methyltransferase	2.1.1.20	P13255
1xvt	CROTONOBETAINYL-COA:CARNITINE COA-TRANSFERASE	2.8.3.-	P31572
1xyz	endo-1,4-beta-xylanase	3.2.1.8	P10478
1ybq	isoaspartyl dipeptidase	3.4.19.-	P39377
1ybv	tetrahydroxynaphthalene reductase	1.1.1.252	Q12634
1ycf	NITRIC OXIDE REDUCTASE	1.-.-.-	Q9FDN7
1ygh	histone acetyltransferase	2.3.1.48	Q03330
1ylu	6,7-dihydropteridine reductase	1.5.1.34	P38489
1yon	2-dehydropantoate 2-reductase	1.1.1.169	P0A9J4
1ysc	carboxypeptidase C	3.4.16.5	P00729
1ytw	protein-tyrosine-phosphatase	3.1.3.48	P15273
1yve	ketol-acid reductoisomerase	1.1.1.86	Q01292
1z9h	prostaglandin-E synthase	5.3.99.3	Q9N0A4
1ze1	tRNA pseudouridine55 synthase	5.4.99.25	Q9WZW0
1zio	adenylate kinase	2.7.4.3	P27142
1zm2	NAD+---diphthamide ADP-ribosyltransferase	2.4.2.36	P32324
1zm2	NAD+---diphthamide ADP-ribosyltransferase	2.4.2.36	P11439
1znv	COLICIN E7 IMMUNITY PROTEIN	3.1.-.-	Q03708
1znv	COLICIN E7 IMMUNITY PROTEIN	3.1.-.-	Q47112
